FARMCODE;CYCLE;WEEK;S_Respiratory;S.Diarrhoea;S.CNS;S.Malaise;S.Leglesions;S.Suddendeath
75-001;1;1;0;0;0;0;0;1
75-001;1;2;0;0;0;0;0;0
75-001;1;3;0;0;0;0;0;1
75-001;1;4;0;0;0;0;0;0
75-001;1;5;0;0;0;0;0;0
75-001;1;6;0;0;0;0;0;1
75-001;1;7;0;0;0;0;0;0
75-001;1;8;0;0;0;0;0;1
75-001;1;9;0;0;0;0;0;0
75-001;1;10;0;0;0;0;0;0
75-001;1;11;0;0;0;0;0;0
75-001;1;12;0;0;0;0;0;0
75-001;1;13;0;0;0;0;0;0
75-001;1;14;0;0;0;0;0;0
75-001;1;15;0;0;0;0;0;0
75-001;1;16;0;0;0;0;0;0
75-001;1;17;0;0;0;0;0;0
75-001;1;18;0;0;0;0;0;0
75-001;1;19;0;0;0;0;0;0
75-001;1;20;0;0;0;0;0;0
75-001;1;21;0;0;0;0;0;0
75-001;1;22;0;0;0;0;0;0
75-001;1;23;0;0;0;0;0;0
75-001;1;24;0;0;0;0;0;0
75-001;1;25;0;0;0;0;0;0
75-001;1;26;0;0;0;0;0;0
75-001;1;27;0;0;0;0;0;0
75-001;2;1;0;0;0;0;0;0
75-001;2;2;0;0;0;0;0;0
75-001;2;3;0;0;0;0;0;0
75-001;2;4;0;0;0;0;0;0
75-001;2;5;0;0;0;0;0;0
75-001;2;6;0;0;0;0;0;0
75-001;2;7;0;0;0;0;0;0
75-001;2;8;0;0;0;0;0;0
75-001;2;9;0;0;0;0;0;0
75-001;2;10;0;0;0;0;0;0
75-001;2;11;0;0;0;0;0;0
75-001;2;12;0;0;0;0;0;0
75-001;2;13;0;0;0;0;0;0
75-001;2;14;0;0;0;0;0;0
75-001;2;15;0;0;0;0;0;0
75-001;2;16;0;0;0;0;0;0
75-001;2;17;0;0;0;0;0;0
75-001;2;18;0;0;0;0;0;0
75-001;2;19;0;0;0;0;0;0
75-001;2;20;0;0;0;0;0;0
75-001;2;21;0;0;0;0;0;0
75-001;2;22;0;0;0;0;0;0
75-001;2;23;0;0;0;0;0;0
75-001;2;24;0;0;0;0;0;0
75-002;1;1;0;0;0;1;0;0
75-002;1;2;0;0;0;0;1;0
75-002;1;3;0;0;0;1;0;0
75-002;1;4;0;0;0;0;0;1
75-002;1;5;0;0;0;1;0;0
75-002;1;6;0;0;0;0;0;1
75-002;1;7;0;0;0;0;0;0
75-002;1;8;0;0;0;0;0;0
75-002;1;9;0;0;0;0;0;0
75-002;1;10;0;0;0;0;0;0
75-002;1;11;0;0;0;0;0;0
75-002;1;12;0;0;0;0;0;0
75-002;1;13;0;0;0;0;0;0
75-002;1;14;0;0;0;0;0;0
75-002;1;15;0;0;0;0;0;0
75-002;1;16;0;0;0;0;0;0
75-002;1;17;0;0;0;0;0;0
75-002;1;18;0;0;0;0;0;0
75-002;2;1;0;0;0;0;0;1
75-002;2;2;0;0;0;0;0;0
75-002;2;3;0;0;0;0;1;0
75-002;2;4;0;0;0;1;0;0
75-002;2;5;0;0;0;0;0;0
75-002;2;6;0;0;0;0;0;0
75-002;2;7;0;0;0;0;0;0
75-002;2;8;0;0;0;0;0;0
75-002;2;9;0;0;0;0;0;0
75-002;2;10;0;0;0;0;0;0
75-002;2;11;0;0;0;0;0;0
75-002;2;12;1;0;0;1;0;0
75-002;2;13;1;0;0;0;0;0
75-002;2;14;0;0;0;0;0;0
75-002;2;15;0;0;0;0;0;0
75-002;2;16;0;0;0;0;0;0
75-002;2;17;0;0;0;0;0;0
75-002;2;18;0;0;0;0;0;0
75-002;2;19;0;0;0;0;0;0
75-002;2;20;0;0;0;0;0;0
75-002;2;21;0;0;0;0;0;0
75-002;2;22;0;0;0;0;0;0
75-003;1;1;0;0;0;0;0;0
75-003;1;2;0;0;0;0;0;0
75-003;1;3;0;0;0;0;0;0
75-003;1;4;0;0;0;0;0;0
75-003;1;5;0;0;0;0;0;0
75-003;1;6;0;0;0;1;0;0
75-003;1;7;0;0;0;1;0;0
75-003;1;8;0;1;0;1;0;0
75-003;1;9;0;1;0;1;0;0
75-003;1;10;0;1;0;1;0;0
75-003;1;11;0;1;0;1;0;0
75-003;1;12;0;1;0;1;0;0
75-003;1;13;0;1;0;1;0;0
75-003;1;14;0;1;0;1;0;0
75-004;1;1;0;0;0;0;0;0
75-004;1;2;0;0;0;0;0;0
75-004;1;3;0;0;0;1;0;0
75-004;1;4;1;0;0;0;0;0
75-004;1;5;0;0;0;0;0;0
75-004;1;6;0;0;0;0;0;0
75-004;1;7;1;1;0;1;0;0
75-004;1;8;1;1;0;1;0;0
75-004;1;9;1;0;0;0;0;0
75-004;1;10;1;0;0;0;0;0
75-004;1;11;0;0;0;0;0;0
75-004;1;12;0;0;0;0;0;0
75-004;1;13;0;0;0;0;0;0
75-004;1;14;0;0;0;0;0;0
75-004;1;15;0;0;0;0;0;0
75-004;1;16;0;0;0;0;0;0
75-004;1;17;0;0;0;0;0;0
75-004;1;18;0;0;0;0;0;0
75-004;2;1;0;0;0;1;0;0
75-004;2;2;0;0;0;1;0;0
75-004;2;3;0;0;0;1;0;0
75-004;2;4;0;0;0;1;1;0
75-004;2;5;1;0;0;1;1;0
75-004;2;6;1;0;0;1;0;0
75-004;2;7;1;0;0;0;0;0
75-004;2;8;0;0;0;0;0;0
75-004;2;9;0;0;1;1;0;0
75-004;2;10;1;0;0;0;0;0
75-004;2;11;1;0;0;0;0;0
75-004;2;12;1;0;0;0;0;0
75-004;2;13;1;0;0;0;0;0
75-004;2;14;1;0;0;0;0;0
75-004;2;15;1;0;0;0;0;0
75-004;2;16;0;0;0;0;0;0
75-004;2;17;0;0;0;0;0;0
75-004;2;18;0;0;0;0;0;0
75-004;2;19;0;0;0;0;0;0
75-004;2;20;0;0;0;0;0;0
75-005;1;1;0;1;0;1;0;0
75-005;1;2;0;1;0;1;0;0
75-005;1;3;0;1;0;1;0;0
75-005;1;4;0;0;0;0;0;0
75-005;1;5;0;0;0;0;0;0
75-005;1;6;0;0;0;0;0;0
75-005;1;7;0;0;0;0;1;0
75-005;1;8;0;0;0;0;0;0
75-005;1;9;0;0;0;0;0;0
75-005;1;10;0;0;0;0;0;0
75-005;1;11;0;1;0;0;0;0
75-005;1;12;0;0;0;0;0;0
75-005;1;13;0;0;0;0;0;0
75-005;1;14;0;0;0;0;0;0
75-005;1;15;0;0;0;0;0;0
75-005;1;16;0;0;0;0;0;0
75-005;1;17;0;0;0;0;0;0
75-005;1;18;0;0;0;0;0;0
75-005;1;19;0;0;0;0;0;0
75-005;2;1;0;0;0;1;0;0
75-005;2;2;0;0;0;1;0;0
75-005;2;3;0;0;0;0;0;0
75-005;2;4;0;0;0;0;0;0
75-005;2;5;0;0;0;0;0;0
75-005;2;6;0;0;0;0;0;0
75-005;2;7;0;0;0;0;0;0
75-005;2;8;0;0;0;0;0;0
75-005;2;9;0;0;0;0;0;0
75-005;2;10;0;0;0;0;0;0
75-005;2;11;1;0;0;0;1;0
75-005;2;12;0;0;0;0;0;0
75-005;2;13;0;0;0;0;0;0
75-005;2;14;0;0;0;0;0;0
75-005;2;15;0;0;1;0;0;0
75-005;2;16;0;0;0;0;0;0
75-005;2;17;0;0;0;0;0;0
75-005;2;18;0;0;0;0;0;0
75-005;2;19;0;0;0;0;0;0
75-005;2;20;0;0;0;0;0;0
75-005;2;21;0;0;0;0;0;0
75-005;2;22;0;0;0;0;0;0
75-005;2;23;0;0;0;0;0;0
75-005;2;24;0;0;0;0;0;0
75-005;2;25;0;0;0;0;0;0
75-006;1;1;0;0;0;0;0;0
75-006;1;2;0;0;0;0;0;0
75-006;1;3;0;1;0;0;0;0
75-006;1;4;0;0;0;0;0;0
